brandid,mill_count,rspo_mill_count,unique_parent_co,unique_group_name,nonrspo_mill_count,brand,country,rspo_member_since,external_link,description_attribution,description,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest,risk_score_past,risk_score_current,risk_score_future
3,958,179,175,784,779,PepsiCo,United States,2009-05-06,https://www.pepsico.com/sustainability/esg-topics-a-z,Wikipedia,"PepsiCo, Inc. is an American multinational food, snack and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase. PepsiCo has interests in the manufacturing, marketing, and distribution of grain-based snack foods, beverages, and other products. PepsiCo was formed in 1965 with the merger of the Pepsi-Cola Company and Frito-Lay, Inc. PepsiCo has since expanded from its namesake product Pepsi to a broader range of food and beverage brands, the largest of which included an acquisition of Tropicana Products in 1998 and the Quaker Oats Company in 2001, which added the Gatorade brand to its portfolio.",19775791.86035293,69069074.04352938,59257471.543411806,533519.8658823528,568313.9749411765,365035.8660000001,941884.0944705874,889830.2639999999,1064219.8355294114,1075988.3209411765,1087553.4663529426,1473509.3636470595,982026.039176471,1167172.771411765,1735426.989176469,900577.2952941179,1399203.4334117642,1143969.2876470606,1747630.6217647057,955594.8603529419,907536.5174117646,836798.9929411766,0.28631905283527675,0.3337265554077051,0.6662734445922949,3,3,3
6,957,179,173,785,778,"General Mills, Inc",United States,2012-02-03,https://www.generalmills.com/en/Responsibility/Sustainability/sustainable-sourcing,RSPO,"General Mills manufactures and markets branded consumer foods worldwide. The company offers cereals, yogurt, soup, dinners, vegetables, dough products, dessert and baking mixes, pizza and pizza snacks, snacks; and a range of organic products, including soup, cereals; ice cream and frozen desserts, and grain snacks. General mills currently uses palm in a number of products. It sells its products through its direct sales personnel to grocery stores and other retailers. The company was founded in 1928 and is based in Minneapolis, Minnesota.",19730425.41035294,67899769.22399996,58801171.68423534,538183.9189411763,566738.8104705884,371040.29541176476,942323.563058823,891642.7665882347,1048389.2272941176,1059052.8871764715,1081326.1535294126,1472932.6927058822,992058.2269411769,1179733.6920000003,1741354.1516470562,905733.2608235291,1401917.1991764698,1135179.1496470599,1715924.9964705885,949523.4691764711,905460.5248235295,831910.4244705882,0.29058162694578044,0.3355447662897964,0.6644552337102037,3,3,3
2,954,181,174,786,773,Kellogg Company,United States,2018-07-28,http://crreport.kelloggcompany.com/esg-overview,Wikipedia,"The Kellogg Company, doing business as Kellogg's, is an American multinational food manufacturing company headquartered in Battle Creek, Michigan, United States. Kellogg's produces cereal and convenience foods, including crackers and toaster pastries and markets their products by several well known brands including Corn Flakes, Frosted Flakes, Pringles, Eggo, and Cheez-It. Kellogg's mission statement is ""Nourishing families so they can flourish and thrive.""Kellogg's products are manufactured and marketed in over 180 countries. Kellogg's largest factory is at Trafford Park in Trafford, Greater Manchester, United Kingdom, which is also the location of its UK headquarters. Other corporate office locations outside of Battle Creek include Chicago, Dublin (European Headquarters), Shanghai, and Quertaro City.",19582560.329647057,67630688.39752936,58532299.73294122,535636.3969411764,565190.0929411766,344004.6038823528,939888.447882352,885247.4054117643,1043904.4415294115,1048020.6105882364,1078937.824588236,1461937.9789411768,982261.3076470587,1176253.5624705893,1729345.8907058805,900199.203882353,1396786.9567058815,1132131.8011764714,1686450.1725882362,949477.9757647065,901062.7358823528,825822.920117648,0.28955139735591445,0.3345598997304773,0.6654401002695227,3,3,3
11,934,177,187,755,757,Nestlé,Switzerland,2009-11-16,https://www.nestle.com/csv/impact ,RSPO,"Nestlé with headquarters in Vevey, Switzerland was founded in 1866 by Henri Nestlé and is today the world's leading nutrition, health and wellness company. Sales for 2008 were CHF 109.9 bn, with a net profit of CHF 18.0 bn. We employ around 283,000 people and have factories or operations in almost every country in the world. The Company's strategy is guided by several fundamental principles. Nestlé's existing products grow through innovation and renovation while maintaining a balance in geographic activities and product lines. Long-term potential is never sacrificed for short-term performance. The Company's priority is to bring the best and most relevant products to people, wherever they are, whatever their needs, throughout their lives. Today Nestlé is present in different markets in the following product categories: Coffee and Beverages, Waters, Dairy, Ice Cream, Confectionery, Infant Nutrition, Healthcare, Culinary including Frozen Foods, Petcare.",19364490.96211763,67490425.87764706,58208996.40988234,521472.2851764706,564305.3227058824,353273.435647059,891213.436235294,868242.1771764699,1026065.7222352937,1083281.4938823527,1075347.882352941,1421657.9460000005,981682.0690588226,1157282.2094117652,1678212.0543529398,883791.6105882351,1360992.8996470592,1118912.8383529421,1729735.3027058814,938647.6665882352,884927.886,825446.7239999997,0.28692204427963436,0.33267178883761095,0.667328211162389,3,3,3
7,933,174,175,755,759,The Hershey Company,United States,2011-04-21,https://www.thehersheycompany.com/en_us/sustainability/shared-business/palm-oil-facts.html,RSPO,"The Hershey Company is headquartered in the United States in Hershey, Pennsylvania and was founded in 1894 by Milton S. Hershey. Hershey is the largest producer of quality chocolate in North America and a global leader in chocolate and sugar confectionery. We market confectionery products in over 50 countries worldwide, employ more than 12,000 people and have revenues of more than $ 5 billion per year. Our mission is to bring sweet moments of Hershey happiness to the world every day. We do this through our values of being open to possibilities, making a difference, growing together and being one Hershey. This mission and these values are at the core of our work in Corporate Social Responsibility (CSR). We are building on Milton Hershey's legacy of commitment to consumers, community and children, by providing high-quality Hershey products while conducting our business in a socially responsible and environmentally sustainable manner. We have organized CSR-related business issues in four areas: environment, community, workplace and marketplace. In each area, we have defined priority statements and measurable targets. Our programs, priorities and targets are found in our CSR Report: www.thehersheycompany.com/social-responsibility/csr-report We will provide updates on our progress in future scorecard updates and CSR Reports. Regarding the Environment, we have identified sustainable sourcing as a priority. We seek to better understand the impacts of our current inputs and to learn how we can meet product requirements with more sustainable sourcing.",18865535.617764708,66149797.69905884,56871492.554117694,515044.76082352997,546885.9635294123,318944.0703529412,885737.3272941177,851273.607529412,982526.1719999985,1012994.2860000009,1068313.6514117653,1406014.5176470594,958840.2741176463,1123660.2250588236,1677477.1132941172,875055.7383529407,1336466.2831764696,1078735.9916470596,1631369.1130588236,924400.9761176471,869931.2954117664,801864.2509411769,0.2851941543886705,0.3317221822482093,0.6682778177517907,3,3,3
8,831,168,160,676,663,L'Oreal,France,2004-05-17,https://www.loreal.com/en/commitments-and-responsibilities/for-our-products/,RSPO,"Founded in 1907, L'Oreal is the first cosmetics company in the world with consolidated sales of 25,84 billion euros in 2016. The group has a global workforce of 89 300 employees and maintains a portfolio of 34 international brands, sold in 140 countries.. L'Oreal is the cosmetics industry's largest investor in research with 3.3% of the Group annual turnover dedicated to R&D.",16442775.042705873,57094734.74399993,49599624.003176406,439443.31729411747,481668.88482352917,311447.4243529414,780399.7609411766,763428.8385882353,899800.7156470589,889954.4830588234,935344.9397647057,1243096.9877647054,836886.066,966615.0561176469,1431713.6290588235,736658.6703529411,1156954.2437647053,917563.3623529417,1402956.7531764712,789958.2349411767,755540.2842352942,703343.3904705881,0.28799109263632827,0.33151007438388774,0.6684899256161123,3,3,3
5,777,147,160,638,630,Johnson & Johnson,United States,2006-10-03,https://www.jnj.com/sustainability-reporting,Wikipedia,"Johnson & Johnson is an American multinational corporation founded in 1886 that develops medical devices, pharmaceutical, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 37 on the 2018 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies. Johnson & Johnson is headquartered in New Brunswick, New Jersey, the consumer division being located in Skillman, New Jersey. The corporation includes some 250 subsidiary companies with operations in 60 countries and products sold in over 175 countries. Johnson & Johnson had worldwide sales of $70.1 billion during calendar year 2015.[6] Johnson & Johnson's brands include numerous household names of medications and first aid supplies. Among its well-known consumer products are the Band-Aid Brand line of bandages, Tylenol medications, Johnson's Baby products, Neutrogena skin and beauty products, Clean & Clear facial wash and Acuvue contact lenses.",15989646.184941163,55476590.62094111,47990472.498,425280.2071764705,456107.4765882354,306506.0812941176,738240.3631764705,705641.427529412,857569.5127058817,871637.2891764708,903220.2825882353,1187210.8005882353,832301.6939999998,954790.036941176,1405540.1279999989,723464.0830588231,1128535.6616470593,920252.0992941174,1417716.9451764706,756613.9891764707,725779.5843529415,673238.5224705882,0.28822330294582754,0.33318376237299036,0.6668162376270097,3,3,3
12,770,166,156,617,604,"Mars, Incorporated",United States,2010-12-03,https://www.mars.com/sustainability-plan ,RSPO,"Mars, Incorporated is a private, family-owned company employing more than 115,000 associates in 80 countries worldwide. Headquartered in McLean, Va., U.S., Mars, Incorporated is one of the world's largest food companies, generating global sales of more than $35 billion annually and operating in four business segments: Confectionery, Petcare, Food, and Drinks. These segments produce some of the world's leading brands: Confectionery: M&M'S®, SNICKERS®, DOVE®, GALAXY®, MARS®, MILKY WAY®, TWIX®, ORBIT®, EXTRA®, STARBURST®, DOUBLEMINT® and SKITTLES®; Petcare PEDIGREE®, WHISKAS®, SHEBA®, CESAR®, NUTRO®, GREENIES® and ROYAL CANIN®; Food UNCLE BEN'S®, DOLMIO®, EBLY®, MASTERFOODS® and SEEDS OF CHANGE®; Drinks KLIX® and FLAVIA®. For more information, please visit www.mars.com. MARS PALM POLICY Mars deals only with those suppliers who have respect for the environment and is committed to working with all stakeholders to make progress towards more sustainable production. We support the environment and the sustainable production of palm oil.",15752941.01576469,55763454.63917646,48014173.98282355,441770.70423529396,472279.428,251958.55411764703,751136.3848235301,730181.474823529,863762.9071764704,868214.5062352937,883714.1777647071,1149690.255882352,797212.5589411765,937194.4429411768,1391165.5570588228,708944.3467058823,1099526.1600000006,884666.2111764716,1332377.6096470584,770721.1521176471,727386.3289411765,691038.2551764707,0.28249578720859064,0.32808938921661135,0.6719106107833887,2,3,3
9,472,79,114,435,393,The Procter & Gamble Company,United States,2010-09-20,https://us.pg.com/environmental-sustainability/ ,Wikipedia,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble.  It specializes in a wide range of personal health/consumer health, and personal care and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included foods, snacks, and beverages.",8643825.464117646,30577837.17564706,26277145.626352925,241386.82976470568,239867.2235294117,136567.29776470576,400727.62270588253,409856.97317647043,490002.1711764709,473786.7903529411,498580.1484705881,649253.6978823525,454307.3015294119,517409.8044705883,754260.5745882357,397910.62129411753,593917.7322352937,486137.92729411763,712601.0202352932,409706.1910588236,401133.2414117647,376412.2951764707,0.2826826964400805,0.32894841726830837,0.6710515827316916,3,3,3
4,384,91,111,328,293,Royal FrieslandCampina N.V.,Netherlands,2007-12-31,https://www.frieslandcampina.com/sustainability/,Wikipedia,"Royal FrieslandCampina N.V. is a Dutch multinational dairy cooperative which is based in Amersfoort, Netherlands. It is the result of a merger between Friesland Foods and Campina on 31 December 2008.  It is the world's largest dairy co-operative and one of the top 5 dairy companies in the world with annual revenue of 11 billion euros (2016). FrieslandCampina has branch offices in 33 countries and employs a total of 21,927 people.  Its main brands are Friesche Vlag (or Frisian Flag in Indonesian market), Chocomel, Fristi, Friso, Dutch Lady, Milner, Campina, Landliebe, Optimel, Mona and ""Mix'it"". FrieslandCampina's products are sold in more than 100 countries.",8232102.193058817,28448901.26505879,24623098.190470587,227786.8055294116,239365.99094117613,136041.26647058822,385522.420235294,347611.3923529412,432170.941058824,446717.5270588236,450084.2195294117,596056.0739999997,405741.2745882353,495758.44447058835,744463.5836470586,389260.2215294117,627841.9051764705,490054.07329411723,712162.2268235288,389467.1025882353,364027.14,351969.5837647056,0.2893645036186182,0.3343243863700601,0.6656756136299399,3,3,3
